,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC
Date,,,,,,,,,,,,
2017-03-23,20656.580078125,2345.9599609375,20656.580078125,2345.9599609375,20757.890625,2358.919921875,20618.619140625,2342.1298828125,20645.0703125,2345.969970703125,280050000,3262400000
2017-03-24,20596.720703125,2343.97998046875,20596.720703125,2343.97998046875,20718.330078125,2356.219970703125,20529.669921875,2335.739990234375,20674.44921875,2350.419921875,292980000,2978530000
2017-03-27,20550.98046875,2341.590087890625,20550.98046875,2341.590087890625,20578.4609375,2344.89990234375,20412.80078125,2322.25,20488.349609375,2329.110107421875,269380000,3242300000
2017-03-28,20701.5,2358.570068359375,20701.5,2358.570068359375,20735.609375,2363.780029296875,20520.099609375,2337.6298828125,20542.140625,2339.7900390625,299670000,3369120000
2017-03-29,20659.3203125,2361.1298828125,20659.3203125,2361.1298828125,20684.73046875,2363.360107421875,20625.029296875,2352.93994140625,20675.75,2356.5400390625,238320000,3107670000
2017-03-30,20728.490234375,2368.06005859375,20728.490234375,2368.06005859375,20753.779296875,2370.419921875,20643.599609375,2358.580078125,20662.7890625,2361.31005859375,270900000,3159680000
2017-03-31,20663.220703125,2362.719970703125,20663.220703125,2362.719970703125,20722.58984375,2370.35009765625,20660.6796875,2362.60009765625,20700.33984375,2364.820068359375,303770000,3356740000
2017-04-03,20650.2109375,2358.840087890625,20650.2109375,2358.840087890625,20692.33984375,2365.8701171875,20517.8203125,2344.72998046875,20665.169921875,2362.340087890625,285670000,3418730000
2017-04-04,20689.240234375,2360.159912109375,20689.240234375,2360.159912109375,20701.2890625,2360.530029296875,20605.30078125,2350.719970703125,20634.939453125,2354.760009765625,237390000,3208340000
2017-04-05,20648.150390625,2352.949951171875,20648.150390625,2352.949951171875,20887.5,2378.360107421875,20639.55078125,2350.52001953125,20745.060546875,2366.590087890625,284980000,3780650000
2017-04-06,20662.94921875,2357.489990234375,20662.94921875,2357.489990234375,20746.4609375,2364.159912109375,20612.169921875,2348.89990234375,20653.76953125,2353.7900390625,251720000,3203250000
2017-04-07,20656.099609375,2355.5400390625,20656.099609375,2355.5400390625,20726.0703125,2363.760009765625,20606.94921875,2350.739990234375,20647.810546875,2356.590087890625,219730000,3054700000
