,idDate,wind,temperature_mean
580,2011/02/05,3.0,9.0
581,2011/02/08,2.0,10.0
582,2011/02/09,3.0,9.0
583,2008/12/08,12.0,12.0
584,2010/08/09,4.0,24.0
585,2012/02/08,14.0,5.0
586,2011/06/21,4.0,24.0
587,2010/08/01,6.0,26.0
588,2010/08/03,12.0,26.0
589,2012/02/05,2.0,2.0
590,2012/02/04,10.0,2.0
591,2010/08/07,6.0,22.0
592,2010/08/06,11.0,24.0
593,2011/06/23,7.0,24.0
594,2012/04/18,11.0,14.0
595,2012/04/19,13.0,16.0
596,2012/04/14,16.0,14.0
597,2012/04/15,6.0,8.0
598,2012/04/16,8.0,10.0
599,2012/04/17,10.0,12.0
600,2012/04/10,6.0,16.0
601,2012/04/11,16.0,16.0
602,2012/04/12,4.0,12.0
603,2011/06/25,6.0,22.0
604,2011/04/04,18.0,16.0
605,2011/04/05,10.0,18.0
606,2011/04/06,7.0,15.0
607,2011/04/07,5.0,14.0
608,2011/04/01,4.0,14.0
609,2011/06/08,5.0,20.0
610,2011/04/03,4.0,17.0
611,2011/06/06,6.0,18.0
612,2011/06/07,7.0,20.0
613,2011/06/04,4.0,17.0
614,2011/06/05,6.0,18.0
615,2011/04/08,4.0,13.0
616,2011/04/09,4.0,12.0
617,2011/06/01,14.0,16.0
618,2012/05/22,21.0,20.0
619,2012/05/23,8.0,22.0
620,2012/05/20,13.0,20.0
621,2012/05/21,16.0,17.0
622,2012/05/26,6.0,20.0
623,2012/05/27,6.0,20.0
624,2007/03/20,32.0,10.0
625,2012/05/25,6.0,18.0
626,2012/05/28,6.0,20.0
627,2012/05/29,7.0,21.0
628,2014/03/03,12.0,12.0
629,2012/06/16,7.0,20.0
630,2012/06/17,6.0,22.0
631,2012/06/14,8.0,21.0
632,2012/06/15,8.0,20.0
633,2012/06/12,12.0,22.0
634,2012/06/13,8.0,20.0
635,2012/06/10,11.0,24.0
636,2012/06/11,9.0,24.0
637,2015/09/21,6.0,20.0
638,2015/09/20,8.0,22.0
639,2015/09/23,8.0,20.0
640,2015/09/22,5.0,21.0
641,2015/09/25,5.0,18.0
642,2015/09/24,5.0,20.0
643,2015/09/27,4.0,20.0
644,2015/09/26,6.0,20.0
645,2007/04/16,10.0,16.0
646,2011/08/01,6.0,25.0
647,2011/08/02,11.0,26.0
648,2007/04/15,27.0,17.0
649,2011/08/04,11.0,26.0
650,2011/08/05,5.0,24.0
651,2011/08/06,6.0,25.0
652,2011/08/07,6.0,27.0
653,2011/08/08,12.0,26.0
654,2011/08/09,8.0,23.0
655,2007/04/18,10.0,18.0
656,2015/05/30,9.0,19.0
657,2015/05/31,6.0,20.0
658,2011/03/23,19.0,13.0
659,2011/03/22,12.0,10.0
660,2011/03/21,6.0,11.0
661,2011/03/20,8.0,10.0
662,2011/03/27,7.0,14.0
663,2011/03/26,4.0,14.0
664,2011/03/25,6.0,14.0
665,2011/03/24,15.0,14.0
666,2011/03/29,3.0,14.0
667,2011/03/28,11.0,16.0
668,2006/07/29,10.0,25.0
669,2008/11/22,16.0,16.0
670,2008/11/23,7.0,12.0
671,2015/01/21,5.0,8.0
672,2015/01/20,5.0,9.0
673,2015/01/23,7.0,8.0
674,2015/01/22,6.0,8.0
675,2015/01/25,19.0,10.0
676,2015/01/24,7.0,8.0
677,2015/01/27,6.0,10.0
678,2015/01/26,11.0,8.0
679,2015/01/29,10.0,8.0
680,2015/01/28,5.0,8.0
681,2009/02/08,22.0,9.0
682,2011/07/29,7.0,23.0
683,2011/07/28,10.0,24.0
684,2011/07/27,13.0,25.0
685,2011/07/26,8.0,24.0
686,2011/07/25,7.0,22.0
687,2011/07/24,6.0,21.0
688,2011/07/23,8.0,22.0
689,2011/07/22,16.0,24.0
690,2011/07/21,7.0,22.0
691,2012/05/09,5.0,18.0
692,2010/10/27,4.0,12.0
693,2009/02/07,28.0,8.0
694,2010/01/19,4.0,11.0
695,2010/01/11,4.0,6.0
696,2010/01/10,11.0,7.0
697,2010/01/13,21.0,10.0
698,2010/01/12,6.0,6.0
699,2010/01/15,11.0,10.0
700,2010/01/14,16.0,11.0
701,2010/01/17,3.0,12.0
702,2010/01/16,5.0,8.0
703,2010/08/29,9.0,22.0
704,2009/05/14,5.0,16.0
705,2013/09/29,20.0,24.0
706,2009/02/02,11.0,12.0
707,2012/08/18,9.0,28.0
